#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
12.1% 730000 -76502.34335193632 14552.196993194668 -61950.14635874165 301.50300246518515 792 19:20
12.1% 735000 -76720.51937674076 14372.389222367628 -62348.13015437313 297.7776142783515 792 19:19
12.2% 740000 -76710.35792232206 14284.644738357232 -62425.71318396483 295.95966023393714 791 19:19
12.3% 745000 -76287.4770203873 14783.72858475238 -61503.74843563492 306.30004239344055 791 19:19
12.4% 750000 -75946.87767680679 14216.90892278057 -61729.968754026224 294.55626033628994 790 19:18
12.5% 755000 -76837.3823432684 14452.58015258755 -62384.80219068085 299.4390683009358 790 19:18
12.6% 760000 -76866.58208089616 14388.473528153168 -62478.10855274299 298.11086062522105 789 19:18
12.6% 765000 -76313.56955177948 14443.410257905232 -61870.15929387425 299.24907975279416 789 19:18
12.7% 770000 -76370.97203921818 14734.916268973528 -61636.05577024465 305.28871332941776 788 19:17
12.8% 775000 -76476.80287874604 14414.804572305371 -62061.99830644066 298.65640635097265 788 19:17
12.9% 780000 -76849.6862167707 14383.192453512855 -62466.493763257844 298.0014434794085 787 19:17
13.0% 785000 -76230.37072206839 14312.709796885089 -61917.6609251833 296.54113253083267 787 19:16
13.1% 790000 -76813.0370575733 14700.252970630483 -62112.78408694281 304.57053390052045 787 19:15
13.1% 795000 -76134.45974309769 14263.962758464664 -61870.49698463302 295.5311559306041 786 19:14
13.2% 800000 -76546.2183190478 14449.091957090865 -62097.12636195693 299.3667973293479 786 19:13
13.3% 805000 -76350.22625881966 14681.630401310355 -61668.59585750931 304.1846979634272 786 19:12
13.4% 810000 -76979.69439165512 14523.90380311164 -62455.79058854349 300.91680357278835 786 19:11
13.5% 815000 -76759.12705530738 14628.36273452842 -62130.764320778966 303.08105969653326 786 19:10
13.6% 820000 -76325.49652983496 14143.376765000068 -62182.11976483489 293.0327676046472 786 19:10
13.6% 825000 -76684.51284300885 14602.953198931296 -62081.559644077555 302.5546064553243 786 19:09
13.7% 830000 -76970.72910425943 14531.478784394742 -62439.25031986469 301.0737475449968 786 19:08
13.8% 835000 -76825.83474630806 14597.86489788026 -62227.9698484278 302.44918333295647 785 19:07
13.9% 840000 -76570.71922069084 14328.450014662763 -62242.269206028075 296.8672498120683 785 19:07
14.0% 845000 -76824.6369508824 14509.325513992082 -62315.31143689032 300.61475997466994 784 19:06
14.0% 850000 -75848.19175795595 14471.822044330118 -61376.369713625834 299.8377358104676 784 19:05
14.1% 855000 -76506.69754006586 14703.492841070307 -61803.20469899555 304.63765989295047 784 19:05
14.2% 860000 -76738.53770643008 14304.060974257252 -62434.47673217283 296.36193993253977 784 19:04
14.3% 865000 -76734.07397122099 14577.47141574061 -62156.60255548038 302.02665633591954 784 19:03
14.4% 870000 -76528.84614006279 14122.078472013101 -62406.76766804968 292.5914940783228 784 19:02
14.5% 875000 -76571.34574504476 14340.782873670667 -62230.562871374095 297.1227709558242 783 19:01
14.5% 880000 -76436.76036266252 13955.3956127606 -62481.36474990192 289.1380373564537 783 19:00
14.6% 885000 -76861.08857142633 14255.598409129921 -62605.49016229641 295.3578572569212 783 18:59
14.7% 890000 -76569.7954036675 14501.261050084702 -62068.53435358279 300.4476745454056 783 18:58
14.8% 895000 -76372.9854949102 14371.383519454723 -62001.60197545548 297.75677739386106 783 18:57
14.9% 900000 -76579.2831994529 14478.46785332233 -62100.81534613056 299.9754285152805 783 18:57
15.0% 905000 -77093.10783317026 14591.402709024313 -62501.70512414595 302.3152950036907 782 18:56
15.0% 910000 -76217.60241071082 14622.262738118674 -61595.33967259215 302.954675533824 782 18:55
15.1% 915000 -76439.93656151101 14449.03608993096 -61990.900471580055 299.3656398328917 782 18:54
15.2% 920000 -76425.57584630017 14734.677391300665 -61690.89845499951 305.2837640880336 782 18:53
15.3% 925000 -76529.22247570846 14772.390143250062 -61756.8323324584 306.06512431489733 782 18:52
15.4% 930000 -76515.11376551905 14964.081391739675 -61551.03237377938 310.0367230358977 782 18:51
15.5% 935000 -76369.17236100319 14171.792913408532 -62197.37944759466 293.62151403706935 781 18:51
15.5% 940000 -76168.20969642635 14526.986724237933 -61641.222972188414 300.98067777517684 781 18:50
15.6% 945000 -76555.30928268541 14493.379658470682 -62061.92962421473 300.2843821410805 781 18:49
15.7% 950000 -76447.08337527009 14344.636354151788 -62102.4470211183 297.2026101674252 781 18:48
15.8% 955000 -76017.34831264062 14673.981258224001 -61343.36705441662 304.0262174530342 781 18:47
15.9% 960000 -76681.5933232828 14574.236552745273 -62107.356770537524 301.9596340913668 780 18:47
16.0% 965000 -76176.12069595672 14422.376345893146 -61753.74435006357 298.81328386381614 780 18:46
16.0% 970000 -77003.09876049493 14331.90372780576 -62671.195032689175 296.93880635317015 780 18:45
16.1% 975000 -76423.96702283325 14374.60224589209 -62049.36477694116 297.8234653094682 780 18:44
16.2% 980000 -76195.39347241007 14535.07621564441 -61660.31725676566 301.1482817423723 780 18:43
16.3% 985000 -76147.6804935853 14789.628976137745 -61358.05151744756 306.4222909940635 779 18:42
16.4% 990000 -77035.4682417089 14366.37610224673 -62669.09213946218 297.6530300817877 779 18:41
16.4% 995000 -76678.43223205923 14829.041630140317 -61849.390601918916 307.238871028161 779 18:40
16.5% 1000000 -76362.87002113294 14369.885550803316 -61992.984470329626 297.72574138972993 779 18:39
16.6% 1005000 -76275.06625103504 14543.073986341318 -61731.99226469372 301.31398537318995 779 18:38
16.7% 1010000 -76612.2068845904 14385.639640333095 -62226.567244257305 298.0521460760158 779 18:37
16.8% 1015000 -76057.83421034354 14412.611595969693 -61645.22261437385 298.61097067209533 779 18:37
16.9% 1020000 -76522.74599560484 14484.92856761728 -62037.81742798756 300.1092862935189 779 18:36
16.9% 1025000 -76472.08509840026 14455.94296000529 -62016.14213839497 299.5087413910977 778 18:35
17.0% 1030000 -76857.31131870623 14273.197999629847 -62584.11331907638 295.72249837471026 778 18:35
17.1% 1035000 -76720.7963021426 14441.354831413084 -62279.441470729515 299.2064939316278 778 18:34
17.2% 1040000 -76215.77236041224 14639.231170194236 -61576.541190218006 303.3062398522772 777 18:34
17.3% 1045000 -76673.2199966875 14395.656953656271 -62277.56304303123 298.2596920599648 777 18:33
17.4% 1050000 -76475.22206100076 14302.331281892913 -62172.89077910785 296.32610290797 776 18:33
17.4% 1055000 -76616.17048315384 14649.858221399672 -61966.31226175417 303.52641882918965 776 18:32
17.5% 1060000 -76792.13999010742 14757.477248770858 -62034.662741336564 305.7561481195483 776 18:31
17.6% 1065000 -76408.63576441306 14529.089289562255 -61879.54647485081 301.02424025295653 776 18:30
17.7% 1070000 -76584.09641148013 14323.622394013491 -62260.47401746664 296.7672276558812 776 18:29
17.8% 1075000 -75800.27838819972 14570.011247067763 -61230.26714113195 301.8720911348841 776 18:28
17.9% 1080000 -76319.92759984359 14136.569830491531 -62183.357769352064 292.8917365841856 776 18:27
17.9% 1085000 -76044.28268357166 14610.939836924541 -61433.342846647116 302.72007943068957 776 18:26
18.0% 1090000 -76260.77449186017 14277.034020823303 -61983.740471036865 295.8019758520897 776 18:25
18.1% 1095000 -76341.95980650216 14811.22288012202 -61530.73692638014 306.86968920405536 776 18:23
18.2% 1100000 -76045.10381575982 14226.080141325381 -61819.023674434444 294.74627631317765 776 18:22
18.3% 1105000 -76343.4285685777 14854.389906084123 -61489.03866249358 307.76405504731275 776 18:21
18.3% 1110000 -76370.611036348 14340.821996304434 -62029.789040043564 297.12358152700807 776 18:19
18.4% 1115000 -76986.4075481397 14493.842436533012 -62492.56511160669 300.29397031359724 777 18:17
18.5% 1120000 -76154.09174867871 14344.683563663853 -61809.40818501485 297.203588288436 777 18:15
18.6% 1125000 -76839.23238389642 14141.14250699094 -62698.089876905484 292.9864766220313 778 18:14
18.7% 1130000 -76400.53012208486 14418.061512624783 -61982.46860946008 298.7238860095845 778 18:12
18.8% 1135000 -76171.2366247378 14634.954898741782 -61536.281725996014 303.21764094979704 779 18:10
18.8% 1140000 -76624.70607791214 14052.691022161387 -62572.01505575075 291.1538744203785 779 18:08
18.9% 1145000 -76711.11557775142 14317.075828870698 -62394.03974888072 296.63159115732986 780 18:07
19.0% 1150000 -76274.3263165814 14637.502134658744 -61636.82418192265 303.2704164363652 780 18:05
19.1% 1155000 -76742.60080697929 14515.007565073172 -62227.593241906114 300.7324848420498 780 18:04
19.2% 1160000 -76654.33914028565 15164.417559123425 -61489.92158116223 314.18743347479676 780 18:03
19.3% 1165000 -76664.93720503438 14526.253025662305 -62138.684179372074 300.9654764744001 780 18:02
19.3% 1170000 -76489.41774704015 14520.649396971368 -61968.76835006878 300.8493764191433 780 18:01
19.4% 1175000 -76702.25531470227 14589.710862038395 -62112.544452663875 302.2802420871995 780 18:00
