#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
17.3% 1045000 -76206.04840479231 14874.737851169039 -61331.31055362327 308.1856385745264 777 18:32
17.4% 1050000 -75649.59443768984 14558.539048780278 -61091.05538890956 301.63440178597205 777 18:31
17.4% 1055000 -76195.30646185017 14441.415386507937 -61753.89107534223 299.2077485561303 777 18:30
17.5% 1060000 -76041.71506896827 14599.518803755376 -61442.1962652129 302.483450157916 777 18:29
17.6% 1065000 -76233.65662944045 14407.237301367844 -61826.4193280726 298.4996221273122 777 18:29
17.7% 1070000 -75798.7302721556 14631.861465212869 -61166.86880694274 303.1535489438044 777 18:28
17.8% 1075000 -76410.82928031395 14686.642953233088 -61724.18632708086 304.2885516602555 776 18:27
17.9% 1080000 -75873.57377919137 14346.196685667244 -61527.37709352413 297.2349382507359 776 18:26
17.9% 1085000 -76152.00482625599 14339.286390487632 -61812.71843576836 297.0917657287073 776 18:25
18.0% 1090000 -76210.35636278658 14709.12636173589 -61501.23000105069 304.75437927188113 776 18:24
18.1% 1095000 -76206.6391820053 14830.93841676101 -61375.700765244284 307.27817003307706 776 18:23
18.2% 1100000 -76271.52783171098 14449.73514067055 -61821.79269104043 299.3801232745988 776 18:22
18.3% 1105000 -76107.93934113235 14376.95580392966 -61730.983537202694 297.8722280368512 776 18:20
18.3% 1110000 -76097.45932761094 14499.249991917093 -61598.20933569384 300.4060079794603 777 18:19
18.4% 1115000 -76163.39419275276 14538.242623414038 -61625.15156933873 301.213885681765 777 18:17
18.5% 1120000 -76154.29443983466 14436.673481803116 -61717.62095803154 299.10950232522947 778 18:15
18.6% 1125000 -76426.81118704904 14462.258028723196 -61964.55315832584 299.63958157832946 778 18:13
18.7% 1130000 -76280.57129142643 14306.304327922491 -61974.266963503935 296.40841936557496 779 18:12
18.8% 1135000 -76422.64798293562 14550.887075584682 -61871.760907350945 301.47586263931714 779 18:10
18.8% 1140000 -76033.11850213713 14772.384169185436 -61260.7343329517 306.0650005398808 779 18:08
18.9% 1145000 -76562.97166135501 14538.67204649745 -62024.29961485756 301.2227827815663 780 18:06
19.0% 1150000 -75863.35748910537 14521.200202607033 -61342.15728649834 300.86078841095497 780 18:05
19.1% 1155000 -76318.99843732864 14119.81455027036 -62199.18388705829 292.5445885008968 780 18:04
19.2% 1160000 -76100.51045716024 14642.716033490799 -61457.794423669446 303.378441784919 780 18:03
19.3% 1165000 -76191.20123542183 14400.42395315219 -61790.77728226964 298.35845822300126 780 18:02
19.3% 1170000 -76375.62815234673 14450.382124616974 -61925.24602772976 299.39352795861214 780 18:01
19.4% 1175000 -76188.5988877205 14253.50448513035 -61935.09440259014 295.3144738163933 780 17:59
19.5% 1180000 -75834.14791358469 14469.013363301257 -61365.13455028343 299.779543513898 780 17:58
19.6% 1185000 -76202.70288758597 14316.845487058255 -61885.85740052771 296.6268187681107 780 17:57
19.7% 1190000 -76576.580717301 14462.404365783763 -62114.176351517235 299.64261349599474 780 17:56
19.8% 1195000 -76241.56121514483 14262.920518807032 -61978.640696337796 295.5095620512598 780 17:56
19.8% 1200000 -76319.79453074827 14428.961194045014 -61890.83333670326 298.9497135375962 780 17:55
19.9% 1205000 -75818.32731065333 14469.79391078305 -61348.533399870284 299.79571546439024 779 17:54
20.0% 1210000 -76081.74338649336 14764.637771093185 -61317.10561540017 305.9045050295331 779 17:53
20.1% 1215000 -75715.44815723052 14197.90818758417 -61517.53996964636 294.16258928349697 779 17:52
20.2% 1220000 -76203.78959911234 14824.09231945924 -61379.6972796531 307.1363276093786 779 17:51
20.2% 1225000 -76148.78548504566 14581.884282487474 -61566.90120255819 302.1180853190676 779 17:50
20.3% 1230000 -76032.43833361004 14596.16130722809 -61436.277026381955 302.4138871026456 779 17:49
20.4% 1235000 -76116.92980475305 14558.30000376548 -61558.62980098757 301.62944907747584 779 17:48
20.5% 1240000 -76392.14328992763 14595.025310693265 -61797.11797923436 302.39035070012164 779 17:47
20.6% 1245000 -76218.13450372862 14612.875892671158 -61605.25861105746 302.76019204192056 779 17:46
20.7% 1250000 -76459.80822715495 14756.844309596465 -61702.96391755849 305.74303442533795 779 17:45
20.7% 1255000 -76379.00579845 14602.0344740792 -61776.9713243708 302.53557164556497 779 17:44
20.8% 1260000 -76301.21746718141 14323.111302270898 -61978.10616491052 296.75663848539375 779 17:43
20.9% 1265000 -75874.79533090617 14461.531203774395 -61413.26412713178 299.62452269035305 779 17:42
21.0% 1270000 -76567.82069250147 14575.928651219469 -61991.892041282 301.99469221837506 778 17:41
21.1% 1275000 -76183.37474142094 14338.627475446043 -61844.74726597489 297.0781138475857 778 17:40
21.2% 1280000 -75754.9169150205 14605.636830355998 -61149.2800846645 302.61020788323486 778 17:38
21.2% 1285000 -76563.70441571274 14698.545167042852 -61865.15924866989 304.5351503835482 778 17:37
21.3% 1290000 -76531.48978028665 14523.199044905517 -62008.29073538113 300.902201879638 778 17:36
21.4% 1295000 -75937.00273618847 14422.57424031378 -61514.428495874694 298.8173839843697 778 17:36
21.5% 1300000 -75956.28842429444 14400.328826244353 -61555.95959805009 298.3564873145301 778 17:34
21.6% 1305000 -76215.14777547511 14366.816504477109 -61848.331270998 297.66215465554205 778 17:33
21.7% 1310000 -76161.77079885078 14730.835716700289 -61430.935082150485 305.2041694792574 778 17:32
21.7% 1315000 -76638.32601342298 14522.745219513385 -62115.5807939096 300.8927991950546 778 17:31
21.8% 1320000 -76640.67700019709 14633.558672396794 -62007.11832780029 303.1887129167769 778 17:30
21.9% 1325000 -75799.23666374931 13888.052539912422 -61911.18412383689 287.74277458833336 778 17:30
22.0% 1330000 -75984.31243599043 14277.133907387422 -61707.178528603006 295.80404537458185 777 17:29
22.1% 1335000 -76542.63014876097 14416.913597604076 -62125.7165511569 298.70010267120057 777 17:28
22.1% 1340000 -76345.15262741162 14590.724730572418 -61754.4278968392 302.30124815296784 777 17:27
22.2% 1345000 -75781.59754856952 14437.438236314001 -61344.15931225552 299.1253470654628 777 17:26
22.3% 1350000 -75738.79604014562 14399.199196536843 -61339.59684360878 298.3330828245657 777 17:25
22.4% 1355000 -76130.95394577643 14585.433899626763 -61545.52004614967 302.1916288689246 777 17:24
22.5% 1360000 -76442.17564923377 14728.670849544997 -61713.50479968877 305.1593161868257 777 17:23
22.6% 1365000 -76490.38360564332 14481.152284864174 -62009.231320779145 300.0310465206 777 17:22
22.6% 1370000 -75901.43788422676 14112.397880543007 -61789.04000368375 292.39092454265494 777 17:21
22.7% 1375000 -75899.98060076128 14158.14408541609 -61741.83651534519 293.3387276906657 777 17:20
22.8% 1380000 -76308.43384282987 14267.347132124052 -62041.086710705815 295.60127584584757 777 17:19
22.9% 1385000 -76637.9652883841 14192.658799748284 -62445.30648863582 294.0538286479473 776 17:18
23.0% 1390000 -75855.00110801368 14095.411219601529 -61759.58988841215 292.0389825452982 776 17:17
23.1% 1395000 -76637.633081857 14441.22418059152 -62196.40890126548 299.2037870128722 776 17:16
23.1% 1400000 -76363.93612344332 14788.941604772941 -61574.99451867038 306.4080495341386 776 17:15
23.2% 1405000 -76143.19156200843 14385.882382282745 -61757.309179725686 298.05717538029734 776 17:14
