#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
12.1% 730000 -76369.40850242776 14194.440987359743 -62174.96751506801 294.166765391312 734 20:52
12.1% 735000 -76269.44151652278 14115.806223777263 -62153.63529274552 292.53713206718413 733 20:52
12.2% 740000 -76833.99255449403 14348.52088792522 -62485.47166656882 297.35992995492705 733 20:51
12.3% 745000 -76027.96928094304 14355.87499269992 -61672.09428824312 297.51233702864334 733 20:50
12.4% 750000 -76814.99752249941 14777.475824674018 -62037.521697825396 306.2496274325802 733 20:50
12.5% 755000 -76402.6129139484 14476.939004193902 -61925.67390975449 300.0212775848932 732 20:49
12.6% 760000 -76369.4011071648 14545.899080604284 -61823.50202656051 301.4504118943629 732 20:48
12.6% 765000 -76475.44939564234 14847.726696232332 -61627.722699410006 307.7055122871252 732 20:48
12.7% 770000 -76482.5802333258 14590.093902957879 -61892.48633036792 302.366309036799 731 20:47
12.8% 775000 -76848.19446501517 14211.669428221929 -62636.525036793246 294.5238090202706 731 20:46
12.9% 780000 -76674.67820078862 14434.341750385232 -62240.33645040339 299.13848858470584 731 20:46
13.0% 785000 -76443.62281178476 14468.149392083438 -61975.473419701324 299.83912093878905 730 20:46
13.1% 790000 -76250.64935048175 14633.27797419984 -61617.37137628191 303.2612592898586 730 20:45
13.1% 795000 -76764.35760242541 14406.494980098463 -62357.86262232695 298.5613898212428 729 20:45
13.2% 800000 -76667.59212537148 14233.594552644421 -62433.99757272706 294.9781871065869 728 20:45
13.3% 805000 -76208.29451694258 14291.829083171462 -61916.46543377112 296.18504431882064 728 20:45
13.4% 810000 -76679.56429284015 14405.80456383342 -62273.75972900673 298.54708157763946 727 20:45
13.5% 815000 -76498.69003238057 14562.328692188968 -61936.36134019161 301.7909005195089 726 20:45
13.6% 820000 -76380.23975285396 14762.523349404673 -61617.71640344929 305.9397511022271 726 20:44
13.6% 825000 -76378.6754155048 14158.388836586499 -62220.2865789183 293.419617646092 725 20:44
13.7% 830000 -76718.57169647221 14542.167132890196 -62176.404563582015 301.3730707022272 725 20:44
13.8% 835000 -76662.63926476576 14072.287148989466 -62590.352115776295 291.6352391730188 724 20:44
13.9% 840000 -76772.63184814682 14385.043262074678 -62387.58858607214 298.11682264816693 724 20:44
14.0% 845000 -76427.01935275231 14834.256155883591 -61592.76319686872 307.42634769825617 723 20:43
14.0% 850000 -76566.41946816216 14595.639578265658 -61970.7798898965 302.4812380691331 723 20:43
14.1% 855000 -76474.00303645988 14283.33323374648 -62190.6698027134 296.00897563483204 722 20:43
14.2% 860000 -76923.10728983523 14129.936224655346 -62793.17106517988 292.82996337043755 722 20:42
14.3% 865000 -76331.80062289849 14516.790960296614 -61815.00966260188 300.8471728090651 721 20:42
14.4% 870000 -75928.18212777986 14161.560225599553 -61766.621902180304 293.48534177348796 721 20:42
14.5% 875000 -76594.14188748405 14468.824841978509 -62125.31704550554 299.8531190181071 720 20:41
14.5% 880000 -76548.98096512746 14312.701967576402 -62236.27899755105 296.6176156962532 720 20:41
14.6% 885000 -76711.42884564873 14465.15292813256 -62246.27591751616 299.77702197280473 719 20:40
14.7% 890000 -77001.93690316095 14407.584390087393 -62594.35251307356 298.5839668436782 719 20:40
14.8% 895000 -76823.26278337158 14627.412554197008 -62195.850229174575 303.1397038421004 718 20:39
14.9% 900000 -76774.24381544808 14406.728902064158 -62367.514913383915 298.5662376393474 718 20:39
15.0% 905000 -76592.09797792394 14472.705659309186 -62119.39231861476 299.9335453964518 718 20:39
15.0% 910000 -76074.66736534919 14321.533982404006 -61753.13338294518 296.8006510997635 717 20:38
15.1% 915000 -76174.39775517609 14671.321548373247 -61503.07620680284 304.0496774578217 717 20:38
15.2% 920000 -76415.69454861037 14712.631524302327 -61703.06302430804 304.9057888050929 716 20:37
15.3% 925000 -75991.20379057666 14507.72000453718 -61483.483786039484 300.65918557398226 716 20:36
15.4% 930000 -76645.71771321577 14730.402699503064 -61915.3150137127 305.27408010523345 716 20:35
15.5% 935000 -76023.53937229428 14472.402197505378 -61551.137174788906 299.9272564290084 716 20:34
15.5% 940000 -76371.36303344907 14458.416346658189 -61912.946686790885 299.63741250288086 716 20:33
15.6% 945000 -76303.89176781799 14641.638181340839 -61662.25358647715 303.4345169119698 716 20:32
15.7% 950000 -75928.8853260767 14060.365908400723 -61868.51941767598 291.38818240011983 715 20:32
15.8% 955000 -76783.97227758415 14520.888479533522 -62263.08379805063 300.9320901355821 715 20:31
15.9% 960000 -76619.45642587655 14346.051951287147 -62273.4044745894 297.30876350846927 715 20:30
16.0% 965000 -76335.92060835699 14145.08683880888 -62190.83376954811 293.14394594736365 715 20:29
16.0% 970000 -76842.99123099554 14454.443809602431 -62388.54742139311 299.5550853173911 715 20:28
16.1% 975000 -76502.45090824398 14456.600914955116 -62045.84999328886 299.5997893465792 715 20:27
16.2% 980000 -76527.01072429461 14352.146390491906 -62174.8643338027 297.4350651690513 714 20:26
