#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
19.8% 1195000 -76309.9058441996 14562.571421911705 -61747.334422287895 301.7959308702966 699 19:59
19.8% 1200000 -76232.18628189943 14768.680517262575 -61463.50576463685 306.0673527565891 699 19:58
19.9% 1205000 -76323.81211093042 14573.437747160177 -61750.37436377024 302.0211254907033 699 19:57
20.0% 1210000 -76405.61891325648 14576.07617148249 -61829.542741773985 302.07580441390394 699 19:57
20.1% 1215000 -76462.33545823394 14455.953691671655 -62006.381766562285 299.58637623788746 698 19:56
20.2% 1220000 -76060.93783242861 14252.417247304218 -61808.52058512439 295.3682701826976 698 19:55
20.2% 1225000 -76141.67879271755 14493.353361199224 -61648.32543151832 300.3614500728787 698 19:54
20.3% 1230000 -76399.5327225207 14345.5598894614 -62053.9728330593 297.2985659786207 698 19:53
20.4% 1235000 -76373.99599426793 14720.345372261067 -61653.65062200686 305.065651226217 698 19:52
20.5% 1240000 -76036.71751552672 14501.617118938771 -61535.10039658795 300.5327088696418 698 19:51
20.6% 1245000 -76364.28351518227 14599.6870004752 -61764.59651470707 302.56511718072426 697 19:50
20.7% 1250000 -76272.98784176733 14658.268107327456 -61614.719734439874 303.77915686929794 697 19:49
20.7% 1255000 -76441.29562406149 14540.970875820229 -61900.324748241255 301.3482793720746 697 19:48
20.8% 1260000 -76317.47839899496 14892.252856383933 -61425.225542611035 308.62827610140687 697 19:47
20.9% 1265000 -76243.76139208101 14479.187537126052 -61764.57385495496 300.06787636677655 697 19:46
21.0% 1270000 -76240.4882145387 14440.230980155718 -61800.257234382974 299.260537468052 697 19:45
21.1% 1275000 -75634.22838465302 14375.090837227724 -61259.13754742529 297.91056777503485 697 19:44
21.2% 1280000 -75988.90296809303 14367.04030936578 -61621.862658727245 297.74372797183656 696 19:43
21.2% 1285000 -76100.20988763317 14320.03393919474 -61780.17594843843 296.76956408061216 696 19:42
21.3% 1290000 -76237.0817542496 14152.525416850482 -62084.55633739911 293.29810365202826 696 19:41
21.4% 1295000 -76293.77894962215 14633.182774501374 -61660.59617512078 303.25928636345805 696 19:40
21.5% 1300000 -75563.52718710675 14303.400345776623 -61260.12684133013 296.4248481191313 696 19:39
21.6% 1305000 -76006.21136697107 14901.751309234054 -61104.460057737015 308.8251228214454 696 19:38
21.7% 1310000 -76536.58097675027 14373.618099888758 -62162.96287686151 297.880046644991 695 19:37
21.7% 1315000 -75955.90225707703 14416.089297446 -61539.81295963103 298.7602232450301 695 19:36
21.8% 1320000 -76112.28007016344 14946.81380539887 -61165.466264764575 309.75900170748724 695 19:35
21.9% 1325000 -76308.96318853616 14666.584028738083 -61642.379159798074 303.9514967102815 695 19:34
22.0% 1330000 -76383.50113355694 14607.270511440713 -61776.23062211623 302.72227848725413 695 19:33
22.1% 1335000 -76706.43336806919 14314.44708831005 -62391.98627975914 296.65378172222717 695 19:32
22.1% 1340000 -76082.96257475403 14286.704219157202 -61796.25835559682 296.0788362144305 695 19:31
22.2% 1345000 -76064.65941828453 14549.668476961951 -61514.990941322576 301.52852917527593 694 19:30
22.3% 1350000 -75670.50133123714 14031.018801885602 -61639.482529351546 290.77999054495376 694 19:29
22.4% 1355000 -76377.22155014519 14453.597390845056 -61923.62415930013 299.5375440652738 694 19:28
22.5% 1360000 -75823.259644551 14810.603937950611 -61012.65570660039 306.93617718362503 694 19:27
22.6% 1365000 -76016.27602575383 14054.244603610356 -61962.031422143475 291.2613239749264 694 19:26
22.6% 1370000 -75982.41361689045 14700.398344018116 -61282.01527287233 304.65226736822484 694 19:25
22.7% 1375000 -76349.88669559901 14568.235960361071 -61781.65073523794 301.9133232321775 694 19:24
22.8% 1380000 -76197.41529992224 14310.708405871903 -61886.70689405034 296.57630095911475 693 19:23
22.9% 1385000 -77038.82176091181 14365.279872697434 -62673.54188821438 297.7072445371691 693 19:22
23.0% 1390000 -76287.03005383523 14319.843350741854 -61967.18670309338 296.7656143098 693 19:21
23.1% 1395000 -76472.64675018017 14146.821684710412 -62325.825065469755 293.17989903686964 693 19:20
23.1% 1400000 -75993.81333821948 14673.57307247121 -61320.24026574827 304.096338228872 693 19:19
23.2% 1405000 -76904.61647639923 14223.587775814198 -62681.028700585026 294.7708058384721 693 19:18
